"employeeID","months_worked2021","function_group","vacation_proportion2021_percentage"
2622,12,"01ITE0",0
4581,2,"01RH01",0
7274,3,"01RH01",0
8005,6,"01IN00",0
9515,12,"01TR00",0
11364,9,"01ITC0",0
11381,12,"01RH01",0
13165,12,"01ITT0",0
13218,12,"01T100",0
13631,1,"01T100",0
13854,12,"01T100",0
14980,12,"01VV00",0
15073,12,"01TI80",0
15266,12,"01T100",0
15481,12,"01T100",0
15491,12,"01T100",0
15696,12,"01JD00",0
15827,12,"01T100",0
16021,6,"01PB10",0
16029,12,"01T100",0
16121,12,"01TI80",0
16139,12,"01ED00",0
16434,3,"01T100",0
16441,12,"01T100",0
16533,12,"01T100",0
16691,1,"01RH01",0
16965,12,"01TI80",0
17134,12,"01ITS0",0
17210,6,"01RT01",0
17212,5,"01PB10",0
17302,12,"01ITI0",0
17590,4,"01RH01",0
17604,3,"01TI80",0
17605,2,"01TI80",0
17618,3,"01ITC0",0
17621,10,"01T100",0
17631,10,"01EM00",0
17640,4,"01ITC0",0
17645,9,"01T100",0
17651,2,"01T100",0
17655,9,"01T100",0
17657,9,"01T100",0
17663,3,"01ITT0",0
17666,3,"01TI80",0
17674,4,"01TI80",0
17677,7,"01RH01",0
17680,7,"01TI80",0
17681,7,"01TI16",0
17683,7,"01TI80",0
17688,7,"01TI80",0
17690,6,"01RH01",0
17691,7,"01ITT0",0
17693,6,"01PB10",0
17700,6,"01TI80",0
17721,4,"01TI80",0
17724,5,"01RH01",0
17729,4,"01TI80",0
17736,4,"01T100",0
17750,3,"01TI80",0
17751,3,"01TI80",0
17752,3,"01TI80",0
17753,3,"01KD00",0
17754,3,"01RH01",0
17755,3,"01RH01",0
17769,2,"01KD00",0
17770,2,"01RH01",0
17771,2,"01RH01",0
17773,2,"01JD00",0
