"year","function_group","employeeID","planned_work_days","holidays","vacation_days","paid_days_off","vacation_total","vacation_proportion_percentage","sick_leave_A","sick_leave_B","sick_leave_other","sick_leave_total","sickLeave_proportion_percentage"
2021,"01AS00",15399,20,0,0,0,0,0,0,20,0,20,100
2021,"01AS00",15399,20,0,0,0,0,0,7,6,0,13,65
2021,"01AS00",15399,20,0,0,0,0,0,8,4,0,12,60
2021,"01AS00",16193,20,0,0,0,0,0,0,8,0,8,40
2021,"01AS00",12354,21,0,0,0,0,0,7,0,0,7,33.33
2021,"01AS00",16193,22,0,0,0,0,0,0,5,0,5,22.73
2021,"01AS00",16193,21,1,0,0,1,0,4,0,0,4,19.05
2021,"01AS00",12354,21,0,0,0,0,0,3,0,0,3,14.29
2021,"01AS00",12354,20,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",12354,20,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",12354,23,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",12354,20,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",12354,20,0,1,0,1,5,0,0,0,0,0
2021,"01AS00",12354,20,0,11,0,11,55,0,0,0,0,0
2021,"01AS00",12354,22,0,7,0,7,31.82,0,0,0,0,0
2021,"01AS00",12354,22,0,5,0,5,22.73,0,0,0,0,0
2021,"01AS00",12354,22,1,0,0,1,0,0,0,0,0,0
2021,"01AS00",12354,21,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",15322,20,0,1,0,1,5,0,0,0,0,0
2021,"01AS00",15322,20,0,1,0,1,5,0,0,0,0,0
2021,"01AS00",15322,23,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",15322,20,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",15322,20,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",15322,20,0,5,0,5,25,0,0,0,0,0
2021,"01AS00",15322,22,0,5,0,5,22.73,0,0,0,0,0
2021,"01AS00",15322,22,0,5,0,5,22.73,0,0,0,0,0
2021,"01AS00",15322,22,0,1,0,1,4.55,0,0,0,0,0
2021,"01AS00",15322,21,0,1,0,1,4.76,0,0,0,0,0
2021,"01AS00",15322,21,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",15322,21,0,1,0,1,4.76,0,0,0,0,0
2021,"01AS00",15399,20,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",15399,20,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",15399,23,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",15399,22,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",15399,22,0,15,0,15,68.18,0,0,0,0,0
2021,"01AS00",15399,22,1,0,0,1,0,0,0,0,0,0
2021,"01AS00",15399,21,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",15399,21,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",15399,21,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",16193,20,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",16193,20,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",16193,23,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",16193,20,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",16193,20,0,1,0,1,5,0,0,0,0,0
2021,"01AS00",16193,22,1,4,0,5,18.18,0,0,0,0,0
2021,"01AS00",16193,22,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",16193,21,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",16193,21,1,0,0,1,0,0,0,0,0,0
2021,"01AS00",16996,20,0,0,0,0,0,0,0,0,0,0
2021,"01AS00",16996,20,0,1,0,1,5,0,0,0,0,0
2021,"01AS00",16996,23,0,1,0,1,4.35,0,0,0,0,0
2021,"01AS00",16996,20,0,1,0,1,5,0,0,0,0,0
2021,"01AS00",16996,20,1,1,0,2,5,0,0,0,0,0
