"employeeID","months_worked2021","function_group","vacation_proportion2021_percentage"
1473,2,"01ITE0",5
1716,10,"01RH01",14.76
1760,12,"01GR00",9.52
1792,12,"01ITE0",8.33
1841,12,"01ITE0",10.71
1850,12,"01ITE0",9.52
1982,5,"01ITI0",1.94
2014,5,"01RH01",9.71
2023,12,"01KA00",9.52
2071,12,"01ITS0",5.95
2086,6,"01RT01",7.32
2194,12,"01T100",7.94
2204,12,"01ITE0",8.33
2214,12,"01PD00",4.37
2241,12,"01GR00",9.92
2251,12,"01GR00",11.9
2259,12,"01KA00",11.11
2271,12,"01RH01",9.92
2279,8,"01ITT0",0.59
2309,12,"01RT01",9.92
2310,12,"01VV00",8.73
2318,12,"01ITT0",7.94
2327,12,"01T100",9.92
2335,12,"01ITE0",8.73
2389,12,"01RH01",7.94
2395,12,"01RH01",7.14
2428,12,"01ITS0",7.94
2438,12,"01VV00",7.94
2463,12,"01RT01",9.92
2490,12,"01RH01",9.52
2510,12,"01RH01",10.32
2540,12,"01RT01",9.92
2543,12,"01RT01",12.3
2545,12,"01RT01",3.97
2556,12,"01ITE0",13.89
2562,12,"01TI80",7.94
2567,12,"01RT01",9.92
2577,9,"01RT01",2.12
2582,12,"01TI16",9.52
2594,12,"01RH01",9.92
2598,12,"01RH01",11.9
2615,12,"01RT01",8.33
2622,12,"01ITE0",0
2636,12,"01ITE0",8.33
2640,12,"01RH01",3.57
2647,12,"01RT01",9.13
2667,12,"01IN00",5.95
2713,12,"01RH01",7.94
2739,12,"01RH01",10.32
2740,12,"01RT01",9.52
2760,12,"01RH01",9.92
2766,12,"01ITE0",9.92
2768,12,"01RT01",10.32
2776,12,"01ITE0",9.92
2782,12,"01RT01",5.95
2787,9,"01RT01",7.94
2807,3,"01R100",1.59
2819,12,"01RT01",6.35
2831,12,"01RH01",9.52
2850,12,"01RH01",7.94
2851,12,"01ITT0",9.92
2871,12,"01RH01",8.33
2872,12,"01GR00",5.56
2875,12,"01T100",6.75
2882,12,"01RT01",8.33
2890,12,"01RT01",9.52
2900,12,"01RT01",11.9
2925,12,"01RT01",7.94
2930,12,"01RT01",7.94
2963,12,"01T100",9.92
2980,12,"01ITE0",8.33
2989,12,"01ITC0",8.73
2994,12,"01RH01",9.92
2995,12,"01ITS0",7.54
3015,12,"01RT01",9.92
3017,12,"01RT01",10.32
3023,12,"01GR00",13.89
3025,6,"01RH01",4.17
3040,12,"01RT01",5.95
3051,12,"01TI80",7.14
3056,12,"01TI80",5.67
3073,12,"01ITE0",9.13
3091,12,"01TR00",12.3
3102,12,"01ITT0",11.51
3118,12,"01PD00",5.56
3119,12,"01TR00",9.52
3120,12,"01ITE0",8.33
3121,12,"01VV00",8.73
3150,12,"01RT01",7.94
3151,12,"01RH01",7.94
3208,12,"01RT01",9.13
3229,12,"01ITT0",5.95
3236,12,"01RH01",10.32
3243,12,"01ITE0",7.94
3283,12,"01RT01",9.92
3298,12,"01KA00",6.35
3309,12,"01TI29",10.32
3310,12,"01RT01",15.08
3315,12,"01RH01",7.14
3318,12,"01ITE0",10.71
3331,12,"01R100",9.92
3352,12,"01TR00",9.52
3355,12,"01GR00",11.9
3389,12,"01TR00",6.35
3392,12,"01ITE0",7.94
3429,9,"01GR00",10
3457,12,"01RT01",9.92
3467,12,"01RH01",8.33
3488,12,"01RH01",8.73
3506,12,"01RT01",9.92
3511,12,"01RT01",10.71
3546,12,"01RH01",13.1
3554,12,"01RT01",8.73
3573,12,"01KA00",6.75
3580,12,"01RH01",1.98
3585,12,"01TR00",4.37
3593,12,"01ITC0",7.14
3604,12,"01ITT0",5.95
3609,12,"01T100",10.71
3614,12,"01RH01",11.51
3616,12,"01ITE0",9.52
3705,12,"01T100",9.52
3724,12,"01DO00",12.7
3726,12,"01GR00",2.78
3730,12,"01RH01",9.92
3733,7,"01RH01",1.43
3752,12,"01RT01",9.92
3774,12,"01DR00",9.92
3783,12,"01TI16",8.33
3788,12,"01RT01",9.92
3812,12,"01T100",10.71
3816,12,"01RT01",7.14
3817,12,"01PD00",7.94
3830,12,"01RH01",9.92
3832,12,"01NA00",7.14
3847,12,"01TR00",3.57
3860,12,"01ITI0",9.92
3877,9,"01RT01",2.65
3881,12,"01RH01",10.71
3898,12,"01RT01",9.92
3935,12,"01RH01",5.95
3948,12,"01RH01",7.94
3964,12,"01RH01",9.92
3983,10,"01RT01",16.67
3985,10,"01VV00",9.8
3993,12,"01T100",6.35
4001,9,"01RT01",2.65
4002,12,"01RT01",10.32
4004,12,"01ITI0",7.14
4007,12,"01RH01",8.33
4016,12,"01RH01",9.92
4023,12,"01TI29",1.98
4025,12,"01AS00",8.33
4036,12,"01ND00",3.17
4049,12,"01RT01",9.13
4056,12,"01RT01",7.94
4065,12,"01RT01",7.94
4074,12,"01RH01",6.75
4076,12,"01RH01",3.97
4087,12,"01RH01",8.73
4089,12,"01RT01",9.92
4095,12,"01NA00",5.95
4098,12,"01RH01",7.94
4099,12,"01IN00",2.78
4109,12,"01RT01",10.32
4125,12,"01ITE0",9.92
4135,12,"01RT01",10.71
4169,12,"01RT01",8.33
4197,7,"01RH01",6.9
4204,12,"01RH01",1.98
4248,12,"01RH01",9.92
4253,12,"01RT01",9.92
4259,12,"01T100",10.71
4261,12,"01TR00",7.94
4285,12,"01VV00",9.92
4331,12,"01RH01",8.73
4347,12,"01RH01",7.14
4354,12,"01ITE0",7.54
4364,12,"01RH01",9.92
4369,12,"01TR00",8.73
4374,12,"01RT01",10.71
4375,12,"01RT01",7.94
4398,12,"01PD00",9.13
4428,12,"01ED00",8.33
4443,12,"01RH01",8.73
4454,12,"01RH01",8.73
4468,12,"01RT01",9.13
4480,12,"01RT01",8.33
4486,12,"01RH01",1.98
4508,12,"01AS00",9.92
4543,9,"01RH01",2.65
4577,12,"01RT01",11.9
4581,2,"01RH01",0
4582,12,"01RH01",9.13
4623,12,"01RH01",3.97
4626,12,"01PD00",9.13
4691,12,"01T100",6.35
4723,12,"01TI16",9.92
4735,12,"01RT01",9.92
4754,12,"01T100",8.33
4785,12,"01GR00",11.9
4797,12,"01ITE0",7.94
4805,12,"01GR00",10.71
4823,12,"01RH01",14.29
4845,12,"01GR00",9.92
4928,12,"01TI16",9.13
4948,12,"01RT01",9.92
5002,12,"01ITE0",9.92
5015,12,"01RT01",9.13
5021,4,"01RH01",6.02
5025,12,"01RH01",7.94
5028,12,"01RT01",8.33
5035,12,"01TI16",9.92
5046,12,"01GR00",9.92
5054,1,"01RH01",25
5055,12,"01RH01",6.35
5057,12,"01VV00",9.92
5076,12,"01RT01",7.94
5077,12,"01RT01",9.92
5154,12,"01RT01",7.14
5163,12,"01RH01",9.52
5168,12,"01RT01",9.92
5185,12,"01RT01",9.92
5187,12,"01DO00",6.75
5255,12,"01GR00",7.94
5301,12,"01RT01",9.92
5307,12,"01RH01",7.94
5314,12,"01NA00",10.32
5315,12,"01GR00",8.33
5319,12,"01RT01",7.94
5346,12,"01RT01",12.7
5352,12,"01KA00",7.94
5365,12,"01VD00",0.79
5370,12,"01RH01",9.92
5371,12,"01RH01",9.92
5377,12,"01RH01",8.73
5383,12,"01RT01",7.94
5386,12,"01AS00",9.92
5433,12,"01TR00",7.94
5459,12,"01ITC0",11.51
5481,12,"01RH01",9.52
5492,12,"01RT01",10.32
5496,12,"01GR00",11.9
5503,12,"01ITE0",7.94
5510,12,"01RH01",9.52
5515,12,"01RT01",9.13
5521,12,"01IN00",7.94
5523,12,"01PD00",5.56
5531,12,"01RH01",6.75
5532,12,"01IN00",9.92
5533,12,"01FK00",8.73
5538,7,"01RT01",17.6
5551,12,"01RT01",7.54
5554,12,"01RH01",9.92
5555,1,"01RH01",33.33
5573,12,"01ITE0",9.92
5585,12,"01T100",6.35
5612,12,"01TI16",9.52
5615,12,"01RT01",11.9
5620,12,"01RT01",9.92
5648,12,"01TI16",10.32
5667,12,"01RT01",9.92
5669,12,"01RT01",9.92
5682,12,"01RT01",7.94
5683,12,"01RT01",8.33
5685,12,"01JD00",9.92
5703,12,"01KA00",10.71
5713,12,"01RT01",7.94
5735,12,"01RH01",9.13
5741,12,"01DR00",7.14
5763,12,"01TR00",7.94
5776,12,"01RT01",9.92
5793,12,"01VV00",6.35
5795,12,"01ITE0",7.94
5801,12,"01GR00",6.35
5823,12,"01RH01",8.33
5829,5,"01RT01",19.42
5838,12,"01RT01",11.9
5844,12,"01T100",10.71
5851,12,"01RT01",7.94
5852,12,"01RT01",9.92
5861,12,"01FK00",9.92
5882,12,"01RT01",9.92
5883,12,"01RT01",10.32
5884,12,"01RT01",8.73
5897,12,"01RT01",8.33
5913,12,"01AS00",7.54
5920,12,"01RT01",4.76
5928,12,"01T100",10.32
5942,12,"01RT01",9.52
5951,2,"01TI16",15
5990,12,"01ITT0",3.97
5993,12,"01RT01",7.94
6008,12,"01RT01",9.92
6015,12,"01ITT0",3.97
6029,12,"01RH01",8.73
6041,12,"01RT01",9.92
6052,7,"01T100",12.8
6065,12,"01RT01",9.92
6066,12,"01ITE0",7.14
6132,12,"01ED00",9.52
6139,12,"01RT01",9.92
6140,12,"01RT01",5.56
6147,12,"01TR00",9.92
6168,12,"01RH01",9.52
6201,12,"01RT01",6.75
6232,12,"01RH01",10.32
6252,12,"01SZ10",1.98
6264,12,"01RP00",8.33
6278,12,"01VV00",9.13
6282,12,"01RT01",8.73
6295,12,"01DO00",5.16
6299,12,"01R100",9.13
6315,12,"01GR00",8.33
6332,12,"01ITE0",9.92
6334,12,"01RT01",5.56
6335,12,"01RT01",9.92
6337,12,"01JD00",3.57
6347,12,"01VV00",9.13
6348,12,"01ITD0",4.37
6392,12,"01KF00",9.13
6404,12,"01RT01",10.32
6409,12,"01VV00",5.95
6425,12,"01KA00",9.52
6460,12,"01ITC0",8.33
6461,12,"01RH01",9.13
6478,12,"01VV00",9.92
6506,12,"01RH01",10.32
6516,12,"01RT01",9.92
6525,12,"01GR00",9.92
6527,12,"01ITE0",9.92
6535,11,"01RH01",9.35
6543,12,"01ITI0",8.33
6552,11,"01T100",9.09
6563,12,"01R100",10.32
6568,12,"01PD00",7.94
6574,12,"01RT01",7.94
6577,12,"01SZ10",8.33
6613,12,"01RP00",11.11
6627,12,"01ITT0",10.32
6634,12,"01TI16",9.92
6640,12,"01RH01",8.33
6655,12,"01ITE0",9.13
6659,12,"01RT01",7.94
6722,12,"01JD00",6.75
6723,12,"01GR00",7.54
6741,12,"01ITC0",13.1
6749,12,"01TI16",11.9
6775,12,"01FK00",7.14
6808,12,"01TR00",4.76
6813,12,"01R100",7.14
6819,12,"01FK00",9.92
6831,12,"01DR00",8.73
6832,12,"01RP00",9.13
6841,12,"01RH01",9.92
6845,12,"01RT01",7.94
6870,12,"01ITI0",10.71
6874,12,"01RT01",9.13
6900,12,"01RH01",9.92
6901,12,"01RH01",5.95
6909,12,"01JD00",7.94
6941,4,"01GR00",12.05
6964,12,"01RT01",10.32
6968,12,"01RP00",3.97
