"function_groups","number_of_employees_per_group","function_group_number"
"01AS00",10,"1"
"01DA00",2,"2"
"01DO00",10,"3"
"01DR00",16,"4"
"01ED00",18,"5"
"01EM00",3,"6"
"01FA00",2,"7"
"01FK00",9,"8"
"01GR00",43,"9"
"01IA00",6,"10"
"01IN00",7,"11"
"01IT00",1,"12"
"01ITC0",80,"13"
"01ITD0",4,"14"
"01ITE0",69,"15"
"01ITI0",29,"16"
"01ITS0",18,"17"
"01ITT0",44,"18"
"01JD00",30,"19"
"01KA00",38,"20"
"01KD00",5,"21"
"01KF00",6,"22"
"01LD00",3,"23"
"01NA00",15,"24"
"01ND00",5,"25"
"01PB10",18,"26"
"01PD00",18,"27"
"01R010",1,"28"
"01R100",9,"29"
"01RH01",210,"30"
"01RP00",21,"31"
"01RT01",150,"32"
"01SV00",1,"33"
"01SZ10",9,"34"
"01T100",227,"35"
"01TI16",46,"36"
"01TI29",29,"37"
"01TI70",1,"38"
"01TI80",72,"39"
"01TR00",26,"40"
"01VB00",4,"41"
"01VD00",4,"42"
"01VV00",27,"43"
