"employeeID","months_worked2021","function_group"
1473,2,"01ITE0"
1716,10,"01RH01"
1760,12,"01GR00"
1792,12,"01ITE0"
1841,12,"01ITE0"
1850,12,"01ITE0"
1982,5,"01ITI0"
2014,5,"01RH01"
2023,12,"01KA00"
2071,12,"01ITS0"
2086,6,"01RT01"
2194,12,"01T100"
2204,12,"01ITE0"
2214,12,"01PD00"
2241,12,"01GR00"
2251,12,"01GR00"
2259,12,"01KA00"
2271,12,"01RH01"
2279,8,"01ITT0"
2309,12,"01RT01"
2310,12,"01VV00"
2318,12,"01ITT0"
2327,12,"01T100"
2335,12,"01ITE0"
2389,12,"01RH01"
2395,12,"01RH01"
2428,12,"01ITS0"
2438,12,"01VV00"
2463,12,"01RT01"
2490,12,"01RH01"
2510,12,"01RH01"
2540,12,"01RT01"
2543,12,"01RT01"
2545,12,"01RT01"
2556,12,"01ITE0"
2562,12,"01TI80"
2567,12,"01RT01"
2577,9,"01RT01"
2582,12,"01TI16"
2594,12,"01RH01"
2598,12,"01RH01"
2615,12,"01RT01"
2622,12,"01ITE0"
2636,12,"01ITE0"
2640,12,"01RH01"
2647,12,"01RT01"
2667,12,"01IN00"
2713,12,"01RH01"
2739,12,"01RH01"
2740,12,"01RT01"
2760,12,"01RH01"
2766,12,"01ITE0"
2768,12,"01RT01"
2776,12,"01ITE0"
2782,12,"01RT01"
2787,9,"01RT01"
2807,3,"01R100"
2819,12,"01RT01"
2831,12,"01RH01"
2850,12,"01RH01"
2851,12,"01ITT0"
2871,12,"01RH01"
2872,12,"01GR00"
2875,12,"01T100"
2882,12,"01RT01"
2890,12,"01RT01"
2900,12,"01RT01"
2925,12,"01RT01"
2930,12,"01RT01"
2963,12,"01T100"
2980,12,"01ITE0"
2989,12,"01ITC0"
2994,12,"01RH01"
2995,12,"01ITS0"
3015,12,"01RT01"
3017,12,"01RT01"
3023,12,"01GR00"
3025,6,"01RH01"
3040,12,"01RT01"
3051,12,"01TI80"
3056,12,"01TI80"
