"function_groups","number_of_employees_per_group","function_group_number","vacation_proportion2021_percentage_per_function","vacation_proportion2021_percentage_per_function_noExtremes"
"01AS00",10,1,7.86,7.86
"01DA00",2,2,7.14,7.14
"01DO00",10,3,7.19,7.19
"01DR00",16,4,7.89,7.89
"01ED00",18,5,6.61,6.61
"01EM00",3,6,1.07,1.07
"01FA00",2,7,9.72,9.72
"01FK00",9,8,7.84,7.84
"01GR00",43,9,9.17,9.17
"01IA00",6,10,9.3,9.3
"01IN00",7,11,6.67,6.67
"01IT00",1,12,6.35,6.35
"01ITC0",80,13,7.67,7.67
"01ITD0",4,14,6.65,6.65
"01ITE0",69,15,8.72,8.72
"01ITI0",29,16,7.95,7.95
"01ITS0",18,17,7.56,7.56
"01ITT0",44,18,7.16,7.16
"01JD00",30,19,7.4,7.4
"01KA00",38,20,8.28,8.28
"01KD00",5,21,4.88,4.88
"01KF00",6,22,6.61,6.61
"01LD00",3,23,8.47,8.47
"01NA00",15,24,8.12,8.12
"01ND00",5,25,5.95,5.95
"01PB10",18,26,6.32,6.32
"01PD00",18,27,7.84,7.84
"01R010",1,28,3.88,3.88
"01R100",9,29,8.23,8.23
"01RH01",210,30,8.42,8.4
"01RP00",21,31,6.9,6.9
"01RT01",150,32,9.21,9.21
"01SV00",1,33,8.33,8.33
"01SZ10",9,34,6.31,6.31
"01T100",227,35,8.61,8.59
"01TI16",46,36,9.5,9.5
"01TI29",29,37,6.56,6.56
"01TI70",1,38,5.56,5.56
"01TI80",72,39,6.36,6.28
"01TR00",26,40,7.43,7.43
"01VB00",4,41,7.63,7.63
"01VD00",4,42,4.17,4.17
"01VV00",27,43,7.61,7.59
