"employeeID","sick_leave_proportion2021_percentage"
1473,0
1716,0
1760,0
1792,0
1841,0
1850,0
1982,0
2014,0
2023,0
2071,11.9
2086,0
2194,0
2204,0
2214,0
2241,0
2251,0
2259,0
2271,4.37
2279,21.3
2309,0
2310,0
2318,0
2327,9.92
2335,22.22
2389,0
2395,23.02
2428,0
2438,0
2463,0
2490,0
2510,0
2540,0
2543,0
2545,0
2556,0
2562,0
2567,0
2577,0
2582,13.1
2594,0.79
2598,15.08
2615,0
2622,36.9
2636,0
2640,4.76
2647,31.35
2667,0
2713,2.38
2739,0
2740,11.51
2760,0
2766,0.79
2768,0
2776,26.59
2782,0
2787,2.65
2807,11.11
2819,3.17
2831,2.38
2850,0
2851,2.38
2871,3.17
2872,0
2875,0
2882,4.76
2890,0
2900,0
2925,37.7
2930,13.1
2963,17.06
2980,0
2989,28.17
2994,4.76
2995,0
3015,39.68
3017,0
3023,0
3025,16.67
3040,0
3051,0
3056,4.45
3073,0
3091,0
3102,0
3118,4.37
3119,0
3120,0
3121,0
3150,0
3151,7.94
3208,35.32
3229,0
3236,13.1
3243,0
3283,20.63
3298,0
3309,0
3310,0
3315,0
3318,0
3331,0
3352,0
3355,0
3389,6.75
3392,0
3429,0
3457,19.05
3467,0
3488,0
3506,1.98
3511,0
3546,1.98
3554,5.95
3573,0
3580,0
3585,6.75
3593,1.98
3604,32.54
3609,6.75
3614,0
3616,0
3705,7.14
3724,0
3726,45.24
3730,5.56
3733,0
3752,4.37
3774,0
3783,2.78
3788,4.37
3812,1.19
3816,0
3817,0
3830,3.17
3832,0
3847,0
3860,0
3877,0
3881,17.06
3898,0
3935,7.94
3948,32.94
3964,5.16
3983,0
3985,0
3993,0
4001,0
4002,0
4004,0
4007,0
4016,5.16
4023,0
4025,0
4036,26.19
4049,0
4056,7.94
4065,0
4074,0
4076,0
4087,6.75
4089,0
4095,0
4098,0
4099,0
4109,7.94
4125,0
4135,0
4169,0
4197,0
4204,27.78
4248,1.59
4253,3.57
4259,6.35
4261,0
4285,0
4331,0
4347,7.14
4354,3.17
4364,2.38
4369,0
4374,0
4375,0.4
4398,0
4428,4.76
4443,0
4454,0
4468,0
4480,0
4486,49.21
4508,0
4543,0
4577,1.59
4581,100
4582,0
4623,1.98
4626,0
4691,48.41
4723,1.19
4735,0
4754,3.17
4785,0
4797,4.37
4805,0
4823,0
4845,0
4928,0
4948,12.3
5002,0
5015,0
5021,9.64
5025,7.94
5028,6.75
5035,6.75
5046,0
5054,0
5055,14.68
5057,0
5076,3.57
5077,0
5154,0
5163,7.94
5168,2.78
5185,0
5187,0
5255,0
5301,0
5307,0
5314,0
5315,0
5319,1.59
5346,0
5352,0
5365,0
5370,9.92
5371,7.54
5377,7.94
5383,11.11
5386,0
5433,0
5459,8.33
5481,0
5492,0
5496,0
5503,9.52
5510,0
5515,0
5521,0
5523,9.92
5531,0
5532,0
5533,0
5538,0
5551,3.17
5554,0
5555,13.33
5573,0
5585,0
5612,3.17
5615,0
5620,0
5648,7.94
5667,0
5669,0
5682,0
5683,22.62
5685,0
5703,4.37
5713,0
5735,0
5741,0
5763,0
5776,0
5793,0
5795,0
5801,32.94
5823,0
5829,80.58
5838,0
5844,3.17
5851,0
5852,3.97
5861,0
5882,3.97
5883,4.37
5884,11.11
5897,2.78
5913,0
5920,1.19
5928,0
5942,1.19
5951,0
5990,2.78
5993,0
6008,0
6015,0
6029,0
6041,0
6052,6.4
6065,0
6066,0
6132,0
6139,0
6140,0
6147,3.97
6168,3.57
6201,0
6232,5.16
6252,12.3
6264,0
6278,0
6282,0
6295,0
6299,0
6315,0
6332,0
6334,0
6335,5.56
6337,20.24
6347,21.83
6348,0
6392,0
6404,0
6409,0
6425,0
6460,0
6461,5.16
6478,0
6506,0
6516,0
6525,0
6527,0
6535,8.88
6543,0
6552,22.51
6563,0
6568,2.78
6574,0
6577,0
6613,0
6627,0
6634,26.19
6640,0
6655,0
6659,0
6722,1.59
6723,0
6741,12.3
6749,0
6775,0
6808,0
6813,0
6819,9.92
6831,0
6832,1.59
6841,0
6845,5.16
6870,3.57
6874,0
6900,0
6901,0
6909,3.97
6941,0
6964,0
6968,12.3
6976,6.35
6980,3.17
6993,7.14
7001,0
7018,4.37
7029,0
7038,0
7040,5.95
7044,0
7046,0
7065,2.38
7068,0
7071,0
7075,0
7097,0
7135,0
7140,0
7148,5.95
7154,0
7157,6.35
7204,0
7211,1.19
7224,0
7234,0
7238,0
7264,0
7274,0
7308,0
7325,0
7326,3.17
7334,0
7355,12.7
7359,0
7365,11.11
7366,5.16
7394,0
7398,0
7425,3.17
7439,11.11
7440,0
7441,3.97
7445,29.44
7484,6.35
7494,16.67
7498,0
7534,5.56
7535,0
7545,0
7580,0
7605,0
7626,1.98
7653,0
7696,0
7705,0
7717,37.7
7750,0
7759,2.78
7760,4.76
7766,0
7814,0
7837,0
7839,0
7840,0
7842,0
7846,0
7848,0
7878,0
7884,0
7922,3.17
7953,87.3
7955,0
7956,0
7989,0
7990,0
7997,9.92
8003,0
8005,26.85
8026,0
8046,0
8049,0
8052,0
8056,13.49
8130,0
8152,0
8153,0
8176,8.33
8207,0
8212,0.79
8235,0
8238,0
8241,0
8247,0
8250,0
8251,0
8255,0
8256,0
8289,2.38
8315,0
8334,0
8382,11.11
8441,5.16
8533,0
8535,0
8597,0
9079,0
9098,0
9159,8.33
9180,0
9189,0
9205,0
9207,0
9208,0
9209,0
9210,1.98
9243,2.78
9244,0
9256,0
9262,5.56
9308,2.38
9383,0
9411,5.95
9515,86.11
9598,0
9796,0
9845,0
9853,7.14
9902,0
9933,0
11290,3.57
11341,0
11344,3.17
11364,2.79
11375,0
11381,2.38
11392,0
11429,0
11441,10.71
11448,0
11545,0
11556,0
11638,7.94
11704,0
11788,6.35
11890,2.78
11912,0
11940,0
12001,0
12068,1.59
12094,3.57
12095,0
12106,0
12113,5.95
12119,0
12151,1.19
12210,5.16
12288,0
12298,0
12315,7.54
12354,3.97
12360,0
12361,0
12424,0
12428,0
12451,11.9
12468,3.17
12483,0
12514,0
12563,0
12585,43.3
12589,97.62
12607,0
12642,2.78
12661,4.57
12667,0
12723,0
12734,0
12736,0
13112,13.49
13125,0
13154,21.03
13165,0
13182,3.57
13184,0
13186,0
13195,3.97
13196,9.92
13202,0
13203,0
13210,0
13216,3.17
13218,0
13219,23.02
13220,20.24
13221,34.13
13222,26.59
13257,13.1
13265,0
13322,2.38
13329,16.27
13331,0
13334,4.37
13335,0
13336,0
13337,0
13339,0
13341,0
13350,17.06
13352,7.14
13363,0
13365,0
13368,0
13369,0
13376,18.25
13377,30.16
13380,0
13381,1.98
13393,7.25
13394,32.94
13395,1.98
13403,2.78
13414,0
13422,2.78
13443,2.78
13444,0
13473,0
13477,0
13486,12.7
13502,0
13505,16.27
13510,1.19
13533,33.73
13534,0
13543,8.73
13545,0
13560,1.59
13573,5.16
13579,0
13581,0
13591,0
13594,0
13595,0
13597,0
13604,0
13608,0
13609,10.71
13613,34.52
13618,0
13621,9.13
13631,0
13633,3.17
13636,15.48
13637,0
13638,0
13639,1.59
13642,0
13651,10.32
13652,1.98
13672,3.97
13676,0
13680,9.52
13686,3.17
13687,0
13689,0
13693,17.86
13694,4.37
13697,0
13698,2.38
13702,0
13718,0
13720,8.33
13724,0
13736,0
13747,0
13755,0
13759,0
13763,0
13769,44.05
13773,37.3
13790,2.78
13791,0
13792,0
13802,0
13804,0
13806,0
13809,0
13814,0
13820,11.9
13827,2.38
13830,1.98
13832,2.38
13836,0
13837,0
13839,0
13840,0
13854,11.9
13857,1.98
13867,0
13871,0
13873,0
13890,0
13891,0
13914,2.38
13921,0
13936,5.16
13944,0
13946,35.32
13952,0
13956,14.6
13957,3.17
13975,0
13978,20.63
13984,0
13989,0
13990,0
13999,5.95
14004,0
14006,13.49
14011,0
14016,0
14024,0
14039,1.98
14047,0
14053,0
14066,0
14071,44.44
14078,0
14083,0
14101,0
14117,0
14123,3.57
14126,0
14133,0
14135,0
14136,0
14143,1.59
14151,0.4
14165,1.19
14172,32.54
14174,0
14181,0
14190,0
14191,0
14192,0
14200,0
14201,4.76
14202,21.03
14211,0
14213,0
14238,0
14250,2.38
14255,3.97
14259,3.17
14263,0
14282,0
14283,0
14298,0
14324,27.38
14326,0
14331,0
14349,0
14350,6.75
14356,1.19
14357,9.13
14358,0
14380,0
14381,5.56
14382,4.37
14431,25.4
14433,10.32
14449,0
14453,0
14460,3.97
14464,0
14476,0
14477,1.98
14488,0
14497,2.78
14518,24.21
14530,26.19
14536,53.57
14537,14.29
14539,0
14544,7.94
14547,4.37
14548,2.78
14559,0
14569,0
14570,0
14571,0
14575,0
14581,11.11
14592,0
14617,0
14620,3.57
14622,3.97
14627,0
14629,5.56
14631,0
14634,0
14637,3.17
14644,0
14652,0
14654,23.02
14660,1.59
14662,0
14672,4.37
14676,0
14685,0
14686,0
14693,5.16
14694,11.11
14701,0
14712,0
14718,0
14719,0
14725,0
14726,0
14728,7.94
14734,0
14740,0
14748,4.76
14755,0
14767,3.97
14775,0
14781,0
14783,7.94
14792,0
14802,29.37
14805,0
14806,7.14
14818,0
14823,4.37
14831,8.46
14843,0
14847,3.57
14848,0
14849,0
14855,6.35
14860,3.97
14872,3.17
14878,0
14887,0
14913,0
14916,0
14917,2.38
14924,0
14927,0
14932,0
14948,0
14952,0
14956,0
14958,0
14965,4.07
14970,7.14
14977,19.05
14978,0
14979,26.59
14980,8.33
14982,13.1
14995,3.97
15017,0
15027,0
15028,0
15029,0
15031,0
15039,21.43
15043,9.59
15049,1.19
15050,0
15051,0
15068,3.17
15073,0
15147,0
15149,0
15174,6.85
15176,6.75
15189,0
15190,0
15191,1.98
15192,30.95
15193,9.24
15196,21.03
15203,35
15208,5.56
15211,7.87
15216,1.59
15217,9.52
15220,0
15221,0
15222,0
15230,5.95
15232,0
15233,5.56
15235,34.52
15236,28.17
15238,3.17
15244,10.32
15245,17.46
15247,5.16
15249,10.32
15254,0
15257,0
15258,0
15259,0
15260,1.59
15266,13.1
15269,34.52
15270,0
15290,0
15293,0
15294,0
15296,0
15306,19.05
15310,0
15312,83.41
15313,23.81
15322,0
15329,4.37
15332,0
15336,0
15339,0
15355,3.57
15361,0
15366,34.52
15389,3.57
15399,17.86
15435,0
15444,37.7
15445,7.14
15446,49.6
15447,23.81
15453,42.86
15457,0
15461,0
15463,7.94
15465,0
15467,0
15479,0
15480,11.11
15481,0
15484,0
15485,14.29
15491,34.52
15495,3.17
15496,0
15499,4.37
15520,0
15521,0
15525,4.37
15528,0
15535,1.98
15539,1.59
15558,9.13
15573,0
15579,0
15589,0
15596,0
15603,0
15607,0
15624,0
15634,0
15635,0
15638,2.38
15641,7.54
15648,0
15649,0
15650,7.14
15654,1.19
15659,37.3
15660,7.94
15662,16.27
15663,67.06
15673,44.05
15686,0
15687,0
15696,22.22
15714,0
15715,4.76
15726,0
15731,1.59
15749,48.81
15750,10.36
15751,0
15752,0
15753,0
15754,0
15756,0
15776,0
15779,0
15793,5.56
15794,0
15795,3.97
15801,23.02
15810,14.29
15825,2.78
15826,2.78
15827,7.54
15830,0
15835,0
15840,45.63
15845,0
15862,0
15869,2.38
15871,13.49
15913,0
15928,1.98
15929,38.89
15942,0
15955,0
15958,3.17
15959,0
15961,0
15964,0
15974,0
15975,0
15977,0
15989,4.73
15992,0
15996,0
15997,0
16003,0
16021,0.79
16027,17.46
16029,23.02
16030,0
16031,18.65
16032,3.17
16045,0
16050,0
16052,0
16056,24.6
16074,0
16093,0
16094,0
16112,11.11
16118,0
16120,5.16
16121,7.94
16122,0
16123,38.89
16124,22.22
16127,10.71
16139,47.22
16146,0
16149,0
16152,0
16155,27.38
16156,18.25
16157,0
16168,38.89
16175,0
16176,5.95
16193,6.75
16203,3.57
16204,30.95
16209,4.37
16211,0
16215,2.38
16217,0
16218,2.78
16230,0
16244,0
16245,7.94
16254,0
16257,3.17
16260,0
16263,4.37
16264,9.92
16265,5.16
16266,31.35
16268,20.24
16270,0
16271,0
16272,0
16282,3.57
16284,0
16285,11.9
16287,5.95
16296,2.38
16299,0
16300,0
16301,3.97
16302,0
16325,0
16326,0
16331,0
16336,1.59
16341,0
16355,34.52
16362,0
16363,0
16364,0
16370,0
16389,0
16396,0
16402,15.48
16409,0
16411,0
16423,0
16425,0
16433,0
16434,0
16436,0
16438,0
16440,0
16441,23.81
16443,23.81
16444,1.59
16451,4.76
16457,0
16464,0
